mz,scan,intensity
565.327851456,584,131
565.779814556,584,188
566.024703305,584,325
566.277182551,584,206
566.507100676,584,220
566.541026972,584,148
565.316554693,585,288
565.772280357,585,141
566.017167477,585,217
566.265876306,585,271
565.764746209,586,310
566.017167477,586,191
566.028471238,586,167
566.262107583,586,184
566.280951324,586,126
566.529718094,586,204
569.961472465,586,111
565.734610119,587,111
565.821253542,587,139
566.017167477,587,366
566.269645042,587,150
566.778539493,587,116
567.016101791,587,124
568.302818726,587,139
565.764746209,588,257
565.956882654,588,102
566.017167477,588,323
566.262107583,588,241
567.506467035,588,125
565.768513277,589,270
566.013399581,589,226
566.039775113,589,151
566.280951324,589,172
566.518409328,589,239
566.774769064,589,182
567.223538143,589,111
565.768513277,590,363
565.987024664,590,159
566.017167477,590,153
566.277182551,590,114
567.740408182,590,110
569.761096691,590,145
565.772280357,591,300
565.806184644,591,108
566.009631698,591,273
566.808703375,591,101
568.578463768,591,129
569.250864715,591,156
565.768513277,592,306
566.020935385,592,221
566.269645042,592,169
566.525948493,592,196
567.26125792,592,127
565.621606928,593,100
566.024703305,593,173
566.525948493,593,148
566.993474665,593,113
567.929105513,593,194
565.301492517,594,107
565.719542375,594,113
566.017167477,594,310
566.164125182,594,159
566.009631698,595,314
566.243264155,595,122
566.258338872,595,105
569.957691464,595,108
565.764746209,596,146
566.013399581,596,140
566.514639765,596,141
565.316554693,597,171
565.760979154,597,136
566.017167477,597,299
566.940679795,597,178
567.050043325,597,125
565.768513277,598,111
565.787348804,598,100
566.032239184,598,132
567.600792343,598,168
566.265876306,599,138
566.556105652,600,115
567.608338706,600,103
567.717766609,600,160
