cluster_id,confidence,frame_id,high_mz,high_scan,low_mz,low_scan
1,1.0,30000,906.508118442,103,906.455667013,72
1,1.0,30000,946.56638765,81,946.537152284,73
1,1.0,30000,854.578542357,86,854.541504461,72
1,1.0,30000,907.490670963,76,907.48112906,72
1,1.0,30000,855.588133951,80,855.551074184,78
1,1.0,30000,907.509754921,94,907.452503651,77
1,1.0,30000,869.481422141,83,869.444062687,81
1,1.0,30000,855.574236444,87,855.518647545,83
1,1.0,30000,854.55076386,92,854.546134154,88
1,1.0,30000,869.481422141,107,869.444062687,92
1,1.0,30000,873.520967482,96,873.492882803,92
1,1.0,30000,874.527633111,103,874.499532254,96
1,1.0,30000,873.516286671,105,873.483521343,98
1,1.0,30000,870.45772226,102,870.443704507,99
1,1.0,30000,798.558467655,124,798.509238278,102
1,1.0,30000,799.565765139,121,799.507548447,105
1,1.0,30000,856.482444098,120,856.4314605,106
1,1.0,30000,1222.06844924,154,1221.96879478,104
1,1.0,30000,861.5233862,116,861.481549655,105
1,1.0,30000,906.484276695,111,906.460435262,107
1,1.0,30000,873.535009991,120,873.455437266,108
1,1.0,30000,1223.02644649,119,1222.98767631,114
1,1.0,30000,874.546367267,120,874.471431847,114
1,1.0,30000,835.436300345,119,835.42256748,115
1,1.0,30000,857.474608763,121,857.442145693,116
1,1.0,30000,836.457426011,122,836.429943614,118
1,1.0,30000,842.546708336,122,842.491544285,119
1,1.0,30000,776.554139689,158,776.483527294,122
1,1.0,30000,838.469446431,134,838.437345139,120
1,1.0,30000,1223.05413985,130,1222.98767631,120
1,1.0,30000,819.550313573,157,819.455104247,122
1,1.0,30000,825.482294294,124,825.459543011,123
1,1.0,30000,841.462146829,128,841.402424332,123
1,1.0,30000,777.538634151,148,777.467977009,125
1,1.0,30000,798.540565888,134,798.518188961,127
1,1.0,30000,825.491394895,137,825.445892391,127
1,1.0,30000,856.477809163,129,856.440730132,126
1,1.0,30000,820.552613751,157,820.461882645,127
1,1.0,30000,839.478657353,132,839.446536747,126
1,1.0,30000,821.537368749,139,821.501053932,129
1,1.0,30000,812.533305178,153,812.411419394,129
1,1.0,30000,813.472583653,135,813.449998479,130
